factgrid-ubs_combining_criteria	wiki_combining_criteria	factgrid_id	ubs_id	wiki_id	factgrid_name	ubs_name	wiki_name	factgrid_desc	ubs_desc	wiki_desc	factgrid_ref	ubs_ref
name and ref	both names	Q165636	ID_1ot	Q304781	Abagtha	Abagtha	Abagtha	male biblical protagonist (Esther 1:10)	eunuch; servant of king Ahasuerus (Xerxes)	biblical character	Esther 1:10	[(17, 1, 1, 1)]
name and ref	both names	Q165648	ID_2097ot	Q8183887	Abednego	Abednego	Abednego	male biblical protagonist (Daniel 1:6)	Chaldean name of Azariah, friend of Daniel	one of the three youths thrown into the furnace in the Book of Daniel	Daniel 1:6	[(27, 1, 1, 1), (27, 1, 2, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1)]
name and ref	both names	Q165695	ID_30ot	Q321469	Abishag	Abishag	Abishag	female biblical protagonist (1 Kings 1:3)	concubine of David	biblical character	1 Kings 1:3	[(11, 1, 1, 1), (11, 1, 1, 1), (11, 1, 2, 1), (11, 1, 2, 1), (11, 1, 2, 1)]
name and ref		Q165708	ID_185nt		Achaicus	Achaicus		male biblical protagonist (1 Corinthians 16:17)	a Christian at Corinth		1 Corinthians 16:17	[(46, 16, 17, 10)]
name and ref	both names	Q165758	ID_48nt	Q4687772	Aeneas	Aeneas	Aeneas	male biblical protagonist (Acts 9:33)	a person who was healed by Peter		Acts 9:33	[(44, 9, 33, 7), (44, 9, 34, 6)]
name and ref	both names	Q165853	ID_74nt	Q1542853	Alphaeus	Alphaeus	Alphaeus	male biblical protagonist (Matthew 10:3)	the father of James	biblical character	Matthew 10:3	[(40, 10, 3, 12), (41, 3, 18, 15), (42, 6, 15, 7), (44, 1, 13, 27)]
name and ref		Q165931	ID_98nt		Andronicus	Andronicus		male biblical protagonist (Romans 16:7)	a person greeted in Romans 16		Romans 16:7	[(45, 16, 7, 2)]
name and ref		Q165935	ID_107nt		Annas	Annas		male biblical protagonist (Luke 3:2)	a Jewish high priest		Luke 3:2	[(42, 3, 2, 3), (43, 18, 13, 4), (43, 18, 24, 5), (44, 4, 6, 2)]
name and ref		Q165939	ID_119nt		Apelles	Apelles		male biblical protagonist (Romans 16:10)	a person greeted in Romans 16		Romans 16:10	[(45, 16, 10, 2)]
name and ref		Q165942	ID_126nt		Apollos	Apollos		male biblical protagonist (Acts 18:24)	a Christian of Alexandria who worked in Ephesus and Corinth		Acts 18:24	[(44, 18, 24, 4), (44, 19, 1, 6), (46, 1, 12, 14), (46, 3, 4, 12), (46, 3, 5, 4), (46, 3, 6, 3), (46, 3, 22, 4), (46, 4, 6, 8), (46, 16, 12, 3), (56, 3, 13, 5)]
name and ref		Q165945	ID_130nt		Apphia	Apphia		male biblical protagonist (Philemon 1:2)	a Christian woman, probably the wife of Philemon		Philemon 1:2	[(57, 1, 2, 2)]
name and ref	both names	Q165960	ID_154nt	Q468856	Archippus	Archippus	Archippus	male biblical protagonist (Colossians 4:17)	a Christian in Colossae	Ancient Roman saint	Colossians 4:17	[(51, 4, 17, 3), (57, 1, 2, 6)]
name and ref		Q165965	ID_137nt		Aretas	Aretas		male biblical protagonist (2 Corinthians 11:32)	a king of Nabatean Arabia		2 Corinthians 11:32	[(47, 11, 32, 5)]
name and ref		Q165974	ID_140nt		Aristarchus	Aristarchus		male biblical protagonist (Acts 19:29)	a companion of Paul		Acts 19:29	[(44, 19, 29, 16), (44, 20, 4, 9), (44, 27, 2, 17), (51, 4, 10, 3), (57, 1, 24, 2)]
name and ref		Q165984	ID_149nt		Artemas	Artemas		male biblical protagonist (Titus 3:12)	a friend of Paul		Titus 3:12	[(56, 3, 12, 3)]
