Sl No	Question	Answer	Reference
34001	Of what is Yahweh full?	Yahweh is full of wrath. 	Nahum 1:2
34002	Where does Yahweh make his way?	Yahweh makes his way in the whirlwind and the storm. 	Nahum 1:3
34003	What is happening to the flowers of Lebanon?	The flowers of Lebanon are weak. 	Nahum 1:4
34004	What happens to the earth in Yahweh's presence?	The earth collapses in Yahweh's presence. 	Nahum 1:5-6
34005	To what can we compare Yahweh in the day of trouble?	Yahweh is a stronghold in the day of trouble. 	Nahum 1:7
34006	Into what will Yahweh pursue his enemies?	Yahweh will pursue his enemies into darkness. 	Nahum 1:8-12
34007	What will Yahweh do to the people's yoke?	He will break the people's yoke from them. 	Nahum 1:13
34008	Why will Yahweh dig graves for the people of Nineveh?	He will dig their graves, for they are wicked. 	Nahum 1:14
34009	Where are the feet of him who brings good news?	On the mountains are the feet of him who brings good news. 	Nahum 1:15
34010	What is Yahweh restoring?	Yahweh is restoring the majesty of Jacob. 	Nahum 2:2
34011	What color are the shields of his mighty men?	The shields of his mighty men are red. 	Nahum 2:3
34012	What speeds through the streets?	The chariots speed through the streets. 	Nahum 2:4-6
34013	What has been decreed?	It has been decreed: the queen is stripped and taken away; her female servants moan like doves, beating on their breasts. 	Nahum 2:7
34014	What will the people of Nineveh do?	They will flee away like rushing water. 	Nahum 2:8-10
34015	Of what were the lions afraid?	They were afraid of nothing. 	Nahum 2:11
34016	With what did the lion fill his cave and his dens?	The lion filled his cave with victims and his dens with his prey. 	Nahum 2:12
34017	What will Yahweh do to Nineveh?	Yahweh will burn their chariots in the smoke, devour their young lions, and cut off their prey from the land. 	Nahum 2:13
34018	Of what is the city full?	The city is full of blood, lies and stolen property. 	Nahum 3:1-2
34019	How many people will be killed by the attacking horsemen?	There will be heaps of corpses, a great pile of bodies, and no end of the bodies. 	Nahum 3:3
34020	Why are these things happening?	This is happening because of the lustful actions of the beautiful prostitute. 	Nahum 3:4
34021	What will Yahweh of hosts do against the prostitute because he is against her?	Yahweh will raise up her skirt over her face and show her private parts to the nations, her shame to the kingdoms. He will throw disgusting filth on her and make her vile. He will make her someone that everyone will look at. 	Nahum 3:5
34022	What will Yahweh of hosts do against the prostitute because he is against her?	Yahweh will raise up her skirt over her face and show her private parts to the nations, her shame to the kingdoms. He will throw disgusting filth on her and make her vile. He will make her someone that everyone will look at. 	Nahum 3:6-7
34023	Whose wall was the sea?	Thebe's wall was the sea. 	Nahum 3:8-9
34024	Who threw lots for Thebes' honorable men?	Thebes' enemies threw lots for her honorable men. 	Nahum 3:10-11
34025	If Nineveh's fortresses are shaken, what happens?	If Nineveh's fortresses are shaken, they fall into the mouth of the eater. 	Nahum 3:12-16
34026	How many princes are there?	The princes are as many as the locusts. 	Nahum 3:17-18
34027	What will everyone who hears the news about you do?	Everyone who hears the news about you will clap their hands in joy over you. 	Nahum 3:19
3001	What kind of animal did Yahweh tell Moses to tell the people to bring as a burnt offering from the herd?	Yahweh told Moses to tell the people to bring as a burnt offering from the herd a male that was without blemish. 	Leviticus 1:3
3002	What did Yahweh tell the person to do to make the offering accepted on his behalf to make atonement for himself?	Yahweh told the person to put his hand on the head of the burnt offering to make it accepted on his behalf. 	Leviticus 1:4
3003	What were the priests to do with the blood of the bull?	The priests were to present the blood and splash it upon the altar at the front of the temple. 	Leviticus 1:5-7
3004	Who were the priests?	The priests were the sons of Aaron. 	Leviticus 1:8
3005	What was to be done with the inward parts and legs before placing them on the altar to be burned?	The inward parts and the legs were to be washed with water before being placed on the altar to be burned. 	Leviticus 1:9
3006	What animal did Yahweh tell Moses to tell the people to bring from the flock for a burnt offering?	Yahweh told the people to bring from the flock a male sheep or goat without blemish. 	Leviticus 1:10
3007	Which side of the altar must the male sheep or goat be killed?	The sheep or goat must be killed on the north side of the altar. 	Leviticus 1:11-13
3008	What kinds of birds did Yahweh say could be brought as a burnt offering?	Yahweh said that a dove or young pigeon could be brought as a burnt offering. 	Leviticus 1:14-17
3009	What kind of grain offering could be brought as an offering to Yahweh?	Fine flour could be brought as an offering to Yahweh. 	Leviticus 2:1-2
3010	To whom would the grain offering left belong?	Grain offering left after the burnt offering would belong to Aaron and his sons. 	Leviticus 2:3
3011	If the grain offering was baked with a flat iron pan, what must it be?	If the grain offering was baked with a flat iron pan, it must be of fine flour without yeast mixed with oil. 	Leviticus 2:4-10
3012	What substances were not to be in the grain offering?	Yeast and honey were not to be in the grain offering. 	Leviticus 2:11-12
3013	What substance must always be in the grain offering?	Salt must always be in the grain offering. 	Leviticus 2:13-16
3014	What fellowship offering could be offered from the herd?	A fellowship offering could be either male or female without blemish offered from the herd. 	Leviticus 3:1
3015	Where was the fellowship offering to be killed?	The fellowship offering was to be killed at the door of the tent of meeting. 	Leviticus 3:2
3016	What parts of the fellowship offering must be removed and placed on the altar?	The fat that connects to the inner parts, the lobe of the liver and the kidneys must be removed and placed on the altar. 	Leviticus 3:3
3017	What parts of the fellowship offering must be removed and placed on the altar?	The fat that connects to the inner parts, the lobe of the liver and the kidneys must be removed and placed on the altar. 	Leviticus 3:4-5
3018	Was there any difference in a fellowship offering that was taken from the flock instead of the herd?	No, there was no difference. 	Leviticus 3:6
3019	Was there any difference in a fellowship offering that was taken from the flock instead of the herd?	No, there was no difference. 	Leviticus 3:7
3020	Was there any difference in a fellowship offering that was taken from the flock instead of the herd?	No, there was no difference. 	Leviticus 3:8
3021	What different thing must be removed from the fellowship offering that comes from the flock?	The entire fat tail cut away close to the back bone must be removed if the fellowship offering comes from the flock. 	Leviticus 3:9-15
3022	To whom only did the fat belong?	The fat only belonged to Yahweh. 	Leviticus 3:16
3023	What did Yahweh tell the people not to eat in any place they would ever live?	Yahweh told the people not to eat fat or blood any place they would ever live. 	Leviticus 3:17
3024	About what kind of offering does the fourth chapter of Leviticus talk?	The fourth chapter of Leviticus talks about the sin offering. 	Leviticus 4:3-5
3025	How many times must the priest sprinkle blood from the sin offering before Yahweh, before the curtain of the most holy place?	The priest must sprinkle some blood from the sin offering seven times before Yahweh, before the curtain of the most holy place. 	Leviticus 4:6-10
3026	What parts of the bull were to be carried out to the place cleansed for Yahweh and poured on the ashes?	The skin of the bull and any remaining meat, with its head, legs, and inner parts, and its dung were to be carried out to the ashes. 	Leviticus 4:11-14
3027	If the whole assembly of Israel sinned without wanting to sin, who was to lay their hands on the sin offering?	The elders were to lay their hands on the sin offering if the whole assembly of Israel sinned without wanting to sin. 	Leviticus 4:15-19
3028	What would happen to the assembly of Israel if they followed the directions for the sin offering?	If the assembly if Israel followed the directions of the sin offering, they would be forgiven. 	Leviticus 4:20-22
3029	What was the animal to be offered if a ruler sinned?	If a ruler sinned, he was to offer a male goat without blemish. 	Leviticus 4:23-26
3030	What were the common people to bring as a sacrifice if they sinned?	Common persons were to bring a female goat without blemish to be a sin offering if they sinned. 	Leviticus 4:27-31
3031	Could a man bring a female lamb without blemish as a sacrifice for a sin offering?	Yes, a man could bring a female lamb without blemish as a sacrifice for a sin offering. 	Leviticus 4:32-35
3032	What is one sin of omission for which one would be held responsible?	If anyone sinned by not testifying about something he saw or heard, when he was required to testify, he would be held responsible. 	Leviticus 5:1
3033	What would one be declared who touched anything God had designated as unclean?	If anyone touched anything God had declared unclean, that person would be declared unclean and guilty. 	Leviticus 5:2-4
3034	What two things must the one who was guilty of a sin do?	The one who was guilty of a sin must confess whatever sin he commited and bring his guilt offering to Yahweh. 	Leviticus 5:5
