1	abomination	kt	abomination, abominations, abominable, foul, disgusting thing	The term "abomination" is used to refer to something that causes disgust or extreme dislike.  * The Egyptians considered the Hebrew people to be an "abomination." This means that the Egyptians disliked the Hebrews and didn't want to associate with them or be near them. * Some of the things that the Bible calls "an abomination to Yahweh" include lying, pride, sacrificing humans, worship of idols, murder, and sexual sins such as adultery and homosexual acts. * In teaching his disciples about the end times, Jesus referred to a prophecy by the prophet Daniel about an "abomination of desolation" that would be set up as a rebellion against God, defiling his place of worship.	['H6292', 'H8251', 'H8262', 'H8263', 'H8441', 'G946']		* Ezra 09:1-2* Genesis 46:34* Isaiah 01:13* Matthew 24:15* Proverbs 26:25
2	adoption	kt	adoption, adopt, adopted	The terms "adopt" and "adoption" refer to the process of someone legally becoming the child of people who are not his biological parents.  * The Bible uses "adoption" and "adopt" in a figurative way to describe how God causes people to be part of his family, making them his spiritual sons and daughters. * As adopted children, God makes believers to be co-heirs with Jesus Christ, giving them all of the privileges of sons and daughters of God.	['G5206']	 heir, inherit, spirit)	* Ephesians 01:5* Galatians 04:3-5* Romans 08:14-15* Romans 08:23* Romans 09:04
3	adultery	kt	adultery, adulterous, adulterer, adulteress, adulterers, adulteresses	The term "adultery" refers to a sin that occurs when a married person has sexual relations with someone who is not that person's spouse. Both of them are guilty of adultery. The term "adulterous" describes this kind of behavior or any person who commits this sin.  * The term "adulterer" refers generally to any person who commits adultery. * Sometimes the term "adulteress" is used to specify that it was a woman who committed adultery. * Adultery breaks the promises that a husband and wife made to each other in their covenant of marriage. * God commanded the Israelites to not commit adultery. * The term "adulterous" is often used in a figurative sense to describe the people of Israel as being unfaithful to God, especially when they worshiped false gods.	['H5003', 'H5004', 'G3428', 'G3429', 'G3430', 'G3431', 'G3432']	 commit, covenant, fornication, sex, faithful	* Exodus 20:14* Hosea 04:1-2* Luke 16:18* Matthew 05:28* Matthew 12:39* Revelation 02:22
4	almighty	kt	Almighty	The term "Almighty" literally means "all-powerful"; in the Bible, it always refers to God.  * The titles "the Almighty" or "the Almighty One" refer to God and reveal that he has complete power and authority over everything. * This term is also used to describe God in the titles "Almighty God" and "God Almighty" and "Lord Almighty" and "Lord God Almighty."	['H7706', 'G3841']	 god, lord, power	* Exodus 06:2-5* Genesis 17:01* Genesis 35:11-13* Job 08:03* Numbers 24:15-16* Revelation 01:7-8* Ruth 01:19-21
5	altar	kt	altar, altars	An altar was a raised structure on which the Israelites burned animals and grains as offerings to God.  * During Bible times, simple altars were often made by forming a mound of packed-down dirt or by carefully placing large stones to form a stable pile. * Some special box-shaped altars were made of wood overlaid with metals such as gold, brass, or bronze. * Other people groups living near the Israelites also built altars to offer sacrifices to their gods.   )	['H741', 'H2025', 'H4056', 'H4196', 'G1041', 'G2379']	 altarofincense, falsegod, grainoffering, sacrifice	* Genesis 08:20* Genesis 22:09* James 02:21* Luke 11:49-51* Matthew 05:23* Matthew 23:19
6	amen	kt	amen, truly	The term "amen" is a word used to emphasize or call attention to what a person has said. It is often used at the end of a prayer. Sometimes it is translated as "truly."  * When used at the end of a prayer, "amen" communicates agreement with the prayer or expresses a desire that the prayer be fulfilled. * In his teaching, Jesus used "amen" to emphasize the truth of what he said. He often followed that by "and I say to you" to introduce another teaching that related to the previous teaching. * When Jesus uses "amen" this way, some English versions (and the ULB) translate this as "verily" or  "truly." * Another word meaning "truly" is sometimes translated as "surely" or "certainly" and is also used to emphasize what the speaker is saying.	['H543', 'G281']	 fulfill, true)	* Deuteronomy 27:15* John 05:19* Jude 01:24-25* Matthew 26:33-35* Philemon 01:23-25* Revelation 22:20-21
7	angel	kt	angel, angels, archangel	An angel is a powerful spirit being whom God created. Angels exist to serve God by doing whatever he tells them to do. The term "archangel" refers to the angel who rules or leads all the other angels.  * The word "angel" literally means "messenger." * The term "archangel" literally means "chief messenger." The only angel referred to in the Bible as an "archangel" is Michael. * In the Bible, angels gave messages to people from God. These messages included instructions about what God wanted the people to do. * Angels also told people about events that were going to happen in the future or events that had already happened. * Angels have God's authority as his representatives and sometimes in the Bible they spoke as if God himself was speaking. * Other ways that angels serve God are by protecting and strengthening people. * A special phrase, "angel of Yahweh," has more than one possible meaning: 1) It may mean "angel who represents Yahweh" or "messenger who serves Yahweh." 2) It may refer to Yahweh himself, who looked like an angel as he talked to a person. Either one of these meanings would explain the angel's use of "I" as if Yahweh himself was talking.	['H47', 'H430', 'H4397', 'G32', 'G743', 'G2465']	 chief, head, messenger, michael, ruler, servant)	* 2 Samuel 24:16* Acts 10:3-6* Acts 12:23* Colossians 02:18-19* Genesis 48:16* Luke 02:13* Mark 08:38* Matthew 13:50* Revelation 01:20* Zechariah 01:09
8	anoint	kt	anoint, anointed, anointing, sons of fresh olive oil	The term "anoint" means to rub or pour oil on a person or object. Sometimes the oil was mixed with spices, giving it a sweet, perfumed smell. The term is also used figuratively to refer to the Holy Spirit choosing and empowering someone.  * In the Old Testament, priests, kings, and prophets were anointed with oil to set them apart for special service to God. * Objects such as altars or the tabernacle were also anointed with oil to show that they were to be used to worship and glorify God. * In the New Testament, sick people were anointed with oil for their healing. * The New Testament records two times that Jesus was anointed with perfumed oil by a woman, as an act of worship. One time Jesus commented that in doing this she was preparing him for his future burial. * After Jesus died, his friends prepared his body for burial by anointing it with oils and spices. * The titles "Messiah" (Hebrew) and "Christ" (Greek) mean "the Anointed (One)." * Jesus the Messiah is the one who was chosen and anointed as a Prophet, High Priest, and King.	['H430', 'H1101', 'H1878', 'H3323', 'H4473', 'H4886', 'H4888', 'H4899', 'H5480', 'G218', 'G1472', 'G3462', 'G5545', 'G5548']	 christ, consecrate, highpriest, kingofthejews, priest, prophet  )	* 1 John 02:20* 1 John 02:27* 1 Samuel 16:2-3* Acts 04:27-28* Amos 06:5-6* Exodus 29:5-7* James 05:13-15
9	antichrist	kt	antichrist, antichrists	The term "antichrist" refers to a person or teaching that is against Jesus Christ and his work. There are many antichrists in the world.  * The apostle John wrote that a person is the antichrist if he deceives people by saying that Jesus is not the Messiah or if he denies that Jesus is both God and human. * The Bible also teaches that there is a general spirit of antichrist in the world which opposes Jesus' work. * The New Testament book of Revelation explains that there will be a man called "the antichrist" who will be revealed in the end times. This man will attempt to destroy God's people, but he will be defeated by Jesus.	['G500']	 christ, reveal, tribulation)	* 1 John 02:18* 1 John 04:03* 2 John 01:07
10	apostle	kt	apostle, apostles, apostleship	The "apostles" were men sent by Jesus to preach about God and his kingdom. The term "apostleship" refers to the position and authority of those who were chosen as apostles.  * The word "apostle" means "someone who is sent out for a special purpose." The apostle has the same authority as the one who sent him. * Jesus' twelve closest disciples became the first apostles. Other men, such as Paul and James, also became apostles. * By God's power, the apostles were able to boldly preach the gospel and heal people, and were able to force demons to come out of people.	['G651', 'G652', 'G2491', 'G5376', 'G5570']	 authority, disciple, jamessonofzebedee, paul, thetwelve	* Jude 01:17-19* Luke 09:12-14
